Load_kW
" 17,320 "
" 18,266 "
" 18,199 "
" 17,201 "
" 18,420 "
" 19,239 "
" 19,790 "
" 20,200 "
" 19,901 "
" 19,784 "
" 20,086 "
" 20,367 "
" 19,750 "
" 19,354 "
" 18,550 "
" 18,138 "
" 18,568 "
" 19,117 "
" 18,898 "
" 18,691 "
" 18,149 "
" 18,043 "
" 17,944 "
" 18,067 "
" 18,338 "
" 18,115 "
" 17,368 "
" 17,653 "
" 18,957 "
" 19,159 "
" 19,547 "
" 19,124 "
" 19,780 "
" 20,418 "
" 20,508 "
" 20,102 "
" 19,966 "
" 19,853 "
" 18,866 "
" 17,854 "
" 18,654 "
" 19,146 "
" 19,638 "
" 19,700 "
" 19,061 "
" 18,192 "
" 18,240 "
